campany_name,rating,headquarter,headquarter,num_of_locations,pub_or_pri,how long,employees,reviews,reviews,salaries,jobs,interviews
Tata Communications ,4.2,"Mumbai,Maharashtra + 87 more",Mumbai, 87,Public,36,10k-50k Employees (India),,3.1k,15.9k,382,95
Amdocs ,4.1,"Chesterfield,Missouri + 12 more",Chesterfield, 12,Private,40,10k-50k Employees (India),,2.2k,25.5k,,226
Bosch Global Software Technologies ,4.2,Gerlingen + 20 more,Gerlingen, 20,Private,23,10k-50k Employees (India),,2.2k,22.7k,698,88
 UST ,4.1,"Aliso Viejo,California + 32 more",Aliso Viejo, 32,Private,21,10k-50k Employees (India),,2.5k,26.1k,128,147
Muthoot Fincorp ,4,"Trivandrum/Thiruvananthapuram,Kerala + 419 more",Trivandrum/Thiruvananthapuram, 419,Private,135,10k-50k Employees (India),,2.2k,8.4k,61,60
Ford Motor ,4.6,"Dearborn,Michigan + 101 more",Dearborn, 101,Public,119,10k-50k Employees (India),,2.6k,11.3k,8,41
Flex ,4.2,San Jose + 35 more,San, 35,Private,53,10k-50k Employees (India),,2.2k,14.6k,5,73
Dell ,4.2,"Round Rock,Texas + 82 more",Round Rock, 82,Private,38,10k-50k Employees (India),,3.6k,19.8k,432,145
Whitehat jr ,3.8,"Mumbai,Maharashtra + 44 more",Mumbai, 44,Private,4,5k-10k Employees (India),,2.2k,8.3k,536,228
John Deere ,4.4,"Moline,Illinois + 98 more",Moline, 98,Private,21,5k-10k Employees (India),,2.4k,9.7k,9,91
Indiamart Intermesh ,3.7,"Noida,Uttar Pradesh + 101 more",Noida, 101,Private,26,10k-50k Employees (India),,2.3k,12.4k,437,186
LG Electronics ,4.1,"Seoul,Seoul + 184 more",Seoul, 184,Public,64,10k-50k Employees (India),,2.2k,8.4k,1,69
Motherson Sumi Systems ,3.9,"Noida,Uttar Pradesh + 61 more",Noida, 61,Public,36,5k-10k Employees (India),,3.5k,10.1k,3,72
Ecom Express ,4.3,"Gurgaon,Haryana + 460 more",Gurgaon, 460,Private,10,10k-50k Employees (India),,2.2k,7.3k,57,83
Hetero Drugs ,4,"Hyderabad/Secunderabad,Telangana + 32 more",Hyderabad/Secunderabad, 32,Private,29,1k-5k Employees (India),,2.5k,9.9k,34,92
L&T Financial Services ,4,"Mumbai,Maharashtra + 378 more",Mumbai, 378,Public,28,10k-50k Employees (India),,2.2k,10.2k,6,43
Sodexo ,4.1,Issy Les Moulineaux + 106 more,Issy, 106,Private,14,5k-10k Employees (India),,2.3k,7.9k,116,59
BigBasket ,4.2,"Bangalore,Karnataka + 78 more",Bangalore, 78,Private,11,5k-10k Employees (India),,2.2k,10.4k,32,134
SBI Life Insurance Company ,3.9,"Mumbai,Maharashtra + 410 more",Mumbai, 410,Government,21,10k-50k Employees (India),,2.1k,11.8k,3,70
KEC International ,4.2,"Mumbai,Maharashtra + 203 more",Mumbai, 203,Public,77,5k-10k Employees (India),,2.1k,8.5k,1,105
Abbott Healthcare ,4.1,"Illinois City,Illinois + 143 more",Illinois City, 143,Public,31,10k-50k Employees (India),,4.1k,9.3k,94,48
Cholamandalam Investment & Finance ,4.2,"Chennai,Tamil Nadu + 473 more",Chennai, 473,Private,44,5k-10k Employees (India),,2.1k,9k,,51
GlobalLogic ,4,"San Jose,California + 25 more",San Jose, 25,Private,22,1k-5k Employees (India),,2.1k,19k,190,151
Hindustan Coca Cola Beverages ,4.4,Bangalore + 165 more,Bangalore, 165,Private,25,5k-10k Employees (India),,2.1k,6.2k,27,38
Thermax ,4.3,"Pune,Maharashtra + 121 more",Pune, 121,Public,42,1k-5k Employees (India),,2.3k,9.6k,31,79
Intas Pharmaceuticals ,4.3,"Ahmedabad,Gujrat + 97 more",Ahmedabad, 97,Private,22,10k-50k Employees (India),,2.1k,10.8k,28,72
Subros ,4,"Noida,Uttar Pradesh + 34 more",Noida, 34,Public,37,1k-5k Employees (India),,2.1k,8.4k,,61
Simplex Infrastructures ,3.7,"Kolkata,West Bengal + 122 more",Kolkata, 122,Public,98,1k-5k Employees (India),,2.2k,7.2k,13,27
Muthoot Finance ,3.6,"Kochi/Cochin,Kerala + 387 more",Kochi/Cochin, 387,Public,83,10k-50k Employees (India),,2k,12.6k,513,91
Muthoot Group ,3.7,"Wedel,Schleswig-holstein + 324 more",Wedel, 324,Public,135,1k-5k Employees (India),,4.5k,4.1k,,34
Wipro Enterprises Ltd ,3.9,Bangalore + 66 more,Bangalore, 66,,77,1 Lakh+ Employees (India),,31.2k,3.9k,,62
Gati kwe ,4.1,"Hyderabad/Secunderabad,Telangana + 143 more",Hyderabad/Secunderabad, 143,Private,10,5k-10k Employees (India),,2k,5.6k,25,55
Automatic Data Processing (ADP) ,4.2,New Jersey + 9 more,New, 9,,73,1k-5k Employees (India),,2k,14.8k,60,74
Arvind Group ,4.1,"Ahmedabad,Gujrat + 128 more",Ahmedabad, 128,Public,91,10k-50k Employees (India),,2.4k,6.7k,24,28
Varun Beverages ,4,"Gurgaon/Gurugram,Haryana + 185 more",Gurgaon/Gurugram, 185,Public,27,10k-50k Employees (India),,2k,8.1k,25,62
VE Commercial Vehicles ,4,"Gurgaon/Gurugram,Haryana + 103 more",Gurgaon/Gurugram, 103,Private,14,1k-5k Employees (India),,2k,9k,11,73
Atos ,3.9,"Vilnius,Vilniaus Apskritis + 31 more",Vilnius, 31,Private,25,10k-50k Employees (India),,7.6k,20.5k,2,106
Macleods Pharmaceuticals ,4,"Mumbai,Maharashtra + 75 more",Mumbai, 75,Public,36,5k-10k Employees (India),,2k,10.2k,6,61
Shoppers Stop ,4.3,"Mumbai,Maharashtra + 55 more",Mumbai, 55,Public,31,5k-10k Employees (India),,2k,6.6k,15,41
Indian Air Force ,4.6,"New Delhi,Delhi + 99 more",New Delhi, 99,Private,90,1 Lakh+ Employees (India),,2k,4.4k,,13
Optum ,4.1,Minnesota + 19 more,Minnesota, 19,Private,45,10k-50k Employees (India),,2k,15.4k,513,157
Virtusa Consulting Services ,3.8,"Southborough,Massachusetts + 23 more",Southborough, 23,Private,26,5k-10k Employees (India),,2k,28.5k,702,158
Alembic Pharmaceuticals ,4.1,"Vadodara/Baroda,Gujrat + 117 more",Vadodara/Baroda, 117,Public,115,10k-50k Employees (India),,1.9k,10.5k,29,89
American Express ,4.4,"New York City,New York + 34 more",New York City, 34,Private,172,10k-50k Employees (India),,1.9k,14.6k,117,130
Suzlon Group ,4.2,"Pune,Maharashtra + 84 more",Pune, 84,Public,27,5k-10k Employees (India),,1.9k,7.3k,9,50
Swiggy ,4.1,"Bangalore,Karnataka + 132 more",Bangalore, 132,Private,8,10k-50k Employees (India),,2.2k,13.9k,297,125
Bel ,4.2,"Bangalore/Bengaluru,Karnataka + 32 more",Bangalore/Bengaluru, 32,Private,68,5k-10k Employees (India),,1.9k,7.5k,,95
Cgi Group ,4.2,"Montreal,Quebec + 13 more",Montreal, 13,Private,46,10k-50k Employees (India),,1.9k,27.4k,808,112
Glenmark Pharmaceuticals ,4.1,"Mumbai,Maharashtra + 106 more",Mumbai, 106,Public,45,10k-50k Employees (India),,1.9k,9k,81,52
CMS IT Services ,3.2,"Bangalore,Karnataka + 115 more",Bangalore, 115,Private,8,5k-10k Employees (India),,1.9k,9.6k,83,52
