,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
198,State Street Syntel ,3.8,Mumbai + 12 more,Mumbai,12,Private,18,501-1k Employees (India),1700,9800,0,32,India,Asia,20.593684,78.96288
199,Vishal Mega Mart ,3.9,"Ahmedabad,Gujrat + 239 more",Ahmedabad,240,Private,14,10k-50k Employees (India),1700,6600,7,66,India,Asia,20.593684,78.96288
200,RSPL Group ,4.1,"Mumbai,Maharashtra + 145 more",Mumbai,146,Private,35,1k-5k Employees (India),1700,6300,13,34,India,Asia,20.593684,78.96288
201,Ceat Tyres ,4.1,"Mumbai,Maharashtra + 96 more",Mumbai,97,Public,64,5k-10k Employees (India),1800,8000,0,52,India,Asia,20.593684,78.96288
202,PNB MetLife ,3.7,"Mumbai,Maharashtra + 239 more",Mumbai,240,Private,21,5k-10k Employees (India),1700,8300,14,75,India,Asia,20.593684,78.96288
203,Bank of America ,4.4,Charlotte + 26 more,Charlotte,26,Private,24,10k-50k Employees (India),2800,16000,182,79,United States of America,Americas,,
204,ACC ,4.1,"Mumbai,Maharashtra + 172 more",Mumbai,173,Public,86,5k-10k Employees (India),1800,7800,20,73,India,Asia,20.593684,78.96288
205,Capita ,3.9,"Indore,Madhya Pradesh + 16 more",Indore,17,Private,17,1k-5k Employees (India),1700,11000,42,60,India,Asia,20.593684,78.96288
206,Tata AIA Life Insurance ,4.0,"Mumbai,Maharashtra + 195 more",Mumbai,196,Private,21,10k-50k Employees (India),1700,9800,32,76,India,Asia,20.593684,78.96288
207,Rivigo ,3.8,"Gurgaon,Haryana + 145 more",Gurgaon,146,Private,8,1k-5k Employees (India),1700,7100,13,49,India,Asia,20.593684,78.96288
208,RBL Bank ,3.8,"Mumbai,Maharashtra + 177 more",Mumbai,178,Public,79,10k-50k Employees (India),1700,12200,51,74,India,Asia,20.593684,78.96288
